Every 1st line: Acceleration
Every 2nd line: Gyro Measurement
Every 3rd line: Mag
Every 4th line: (Yaw, Pitch, Roll)
(132.419; 53.762; -90.747)
(-7.154; 10.54; 28.399)
(2.96195; -5.32514; 1.51936)
(0.0224; -0.2657; -0.3125)
(16.691; 32.979; -104.416)
(-63.557; 39.12; -9.409)
(-5.07718; -10.756; -19.4599)
(0.093; -0.3251; -0.2048)
(145.554; -34.795; -111.577)
(-54.282; -8.576; -8.927)
(11.7194; 10.9842; 21.0156)
(-0.2596; -0.0271; -0.2375)
(114.11; 41.854; -122.141)
(-25.372; 36.255; 35.944)
(2.51167; 5.76994; 1.98524)
(0.3731; -0.2001; -0.1152)
(-27.593; -21.003; -98.279)
(-58.447; 1.907; -14.585)
(-15.6661; -22.7945; -10.0288)
(-0.1438; -0.2763; -0.1945)
(96.994; 13.821; -80.064)
(-30.642; 20.396; -12.095)
(2.18123; 0.278984; 22.3668)
(-0.0764; -0.2819; -0.2274)
(155.928; -4.737; -121.443)
(-70.506; 11.097; 20.791)
(11.8877; 23.6189; -9.07348)
(0.2602; -0.2249; -0.2884)
(0.88; -3.525; -111.539)
(-42.335; 4.194; -0.613)
(-0.230562; -21.3628; 12.026)
(0.0653; -0.3255; -0.2326)
(20.025; 26.095; -87.261)
(-55.864; 37.759; -18.896)
(-2.74839; -10.021; -17.8478)
(0.1905; -0.298; -0.1223)
(-177.744; -45.082; -115.842)
(-46.321; -8.15; -10.109)
(5.99899; 13.3179; 18.803)
(-0.2633; -0.0866; -0.2046)
(130.771; 33.191; -116.994)
(-51.21; 39.809; 31.202)
(-0.085429; 13.7299; -8.31887)
(0.4432; -0.0653; -0.0134)
(-34.09; -43.612; -73.857)
(-46.958; -7.184; -2.218)
(-2.80677; -19.5781; 14.24)
(-0.1075; -0.2704; -0.2381)
(55.83; 41.228; -76.876)
(-45.881; 44.513; -12.193)
(-0.391195; -4.54444; -14.0722)
(0.2993; -0.2563; -0.0954)
(-150.131; -60.798; -127.877)
(-44.526; -9.881; -12.217)
(4.06155; 8.82779; 22.1724)
(-0.2799; -0.0629; -0.1233)
(145.253; 42.63; -115.65)
(-69.904; 18.339; 13.394)
(3.06711; 15.3583; -16.1207)
(0.4629; -0.0451; -0.1634)
(-2.238; -53.632; -88.516)
(-41.974; 3.422; -1.236)
(-2.2642; -14.0219; 9.39612)
(0.3923; -0.0926; -0.2811)
(20.506; -35.234; -110.09)
(-8.64; -14.457; -9.204)
(-4.42186; -8.89023; 10.4866)
(-0.2005; -0.0507; -0.3178)
(63.059; 66.926; -103.819)
(-1.586; -10.333; -15.801)
(-6.50631; 3.18628; -3.59374)
(-0.2808; 0.0668; -0.1621)
(134.35; 66.912; -73.344)
(-77.727; 10.847; 8.418)
(1.45079; 20.3044; -14.1092)
(0.2798; -0.1098; -0.4069)
(59.341; -31.372; -118.927)
(-33.384; 3.047; 3.479)
(-10.4118; -13.0316; 12.777)
(0.355; -0.2097; -0.1945)
(-12.225; -13.677; -111.861)
(5.967; -8.092; -6.805)
(-1.44706; -5.06864; 6.25285)
(-0.1483; -0.0598; -0.361)
(11.991; 70.5; -139.31)
(-7.558; -11.225; -12.758)
(-4.42889; 3.56979; -9.94591)
(-0.2544; 0.0402; -0.2532)
(100.788; 73.166; -81.986)
(-80.993; 37.794; 16.979)
(-4.33622; 15.5403; -16.4223)
(0.4409; -0.003; -0.2556)
(28.366; -61.784; -92.796)
(-40.948; -15.025; -4.646)
(-2.08685; -8.44065; 20.4366)
(0.0012; -0.1974; -0.3574)
(-20.795; 49.098; -142.536)
(5.428; -17.761; -1.532)
(-6.33043; -5.3048; -6.9952)
(-0.2488; 0.0097; -0.2516)
(-154.144; 78.515; 69.14)
(-30.482; 47.426; 9.772)
(-2.48737; 8.13344; -12.644)
(0.2533; -0.2552; -0.2713)
(47.858; -20.994; -86.525)
(-18.399; -8.176; -10.253)
(1.57788; -3.31021; 8.17952)
(-0.1342; -0.23; -0.2474)
(50.945; 53.429; -82.369)
(2.124; 4.057; -7.932)
(-6.29358; -3.44604; -5.74829)
(-0.1422; -0.2562; -0.2361)
(74.083; 38.454; -75.218)
(1.709; 19.675; 19.919)
(4.34721; -1.36192; -2.62442)
(0.0811; -0.3661; -0.1448)
(44.283; 15.246; -68.032)
(-37.442; 32.207; -52.58)
(1.43569; 4.72622; 11.3909)
(-0.2398; -0.1465; -0.2327)
(122.719; 31.14; -96.219)
(-51.516; 17.961; 47.765)
(1.46221; -14.3773; 2.80634)
(0.3303; -0.265; -0.1019)
(12.827; -28.783; -160.792)
(-70.689; 17.221; -37.452)
(-10.7959; -26.4078; -3.14518)
(-0.1139; -0.2633; -0.2942)
(38.067; 18.225; -149.001)
(-87.876; 16.737; 23.066)
(4.28172; 31.2306; 5.15703)
(0.143; -0.1787; -0.3972)
(-29.274; -7.864; -115.452)
(-42.137; 5.603; 2.709)
(-0.326672; -16.5429; 1.6039)
(0.2616; -0.297; -0.1765)
(-31.298; -31.094; -116.966)
(-63.844; 37.43; -75.687)
(-8.02871; -13.7054; 1.48793)
(-0.2312; -0.2294; -0.1235)
(89.162; 37.197; -111.335)
(-92.162; 24.753; 57.497)
(7.58165; 24.6288; -3.58161)
(0.3267; -0.2623; -0.0962)
(-68.911; -38.458; -85.713)
(-22.791; 2.44; -6.547)
(0.781655; -16.3211; 2.77553)
(0.1629; -0.3241; -0.2547)
(-6.559; -9.931; -114.525)
(-31.591; 15.415; -47.255)
(3.32777; 14.1159; 6.88293)
(-0.23; -0.1534; -0.2439)
(64.865; 41.019; -116.856)
(-39.225; 15.872; 69.178)
(2.49585; 3.1366; 2.83299)
